0 |[(9, 1), (10, 1), (13, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
an |[(5, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
analysi |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
analyt |[(0, 1), (1, 1), (2, 1)]|
analyz |[(3, 1), (7, 1)]|
and |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
andrew |[(0, 1), (1, 1), (2, 1)]|
angel |[(5, 1), (7, 1), (8, 1)]|
angewandt |[(12, 1)]|
ani |[(6, 1), (7, 1), (11, 1)]|
anonym |[(11, 1)]|
anoth |[(10, 1)]|
anthoni |[(0, 1), (1, 1), (2, 1)]|
apach |[(14, 1), (15, 1), (17, 1), (18, 1)]|
appli |[(12, 1)]|
applic |[(0, 1), (1, 1), (2, 1), (4, 1), (5, 1), (6, 1), (8, 1), (16, 1)]|
approach |[(13, 1)]|
approxim |[(0, 1), (1, 1), (2, 1), (16, 1)]|
apriori |[(16, 1)]|
architectur |[(4, 1), (6, 1)]|
archiv |[(14, 1), (15, 1), (17, 1), (18, 1)]|
are |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
area |[(0, 1), (1, 1), (2, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
array |[(10, 1)]|
arrow |[(5, 1), (8, 1)]|
artifici |[(0, 1), (1, 1), (2, 1)]|
as |[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (16, 1)]|
aspect |[(6, 1)]|
assign |[(6, 1)]|
associ |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
at |[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (6, 1), (8, 1), (9, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]|
attend |[(0, 1), (1, 1), (2, 1)]|
attribut |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
automat |[(4, 1), (5, 1), (6, 1), (8, 1), (13, 1), (16, 1)]|
automata |[(5, 1), (6, 1), (8, 1)]|
automatisierungstechnik |[(12, 1)]|
autopilot |[(9, 1)]|
avail |[(5, 1), (8, 1), (10, 1)]|
avali |[(11, 1)]|
averag |[(11, 1)]|
avion |[(6, 1)]|
avoid |[(7, 1)]|
awar |[(4, 1)]|
b |[(10, 1), (13, 1), (16, 1)]|
background |[(6, 1)]|
bacteri |[(13, 1)]|
baptist |[(13, 1)]|
base |[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (13, 1)]|
baselin |[(10, 1)]|
bassem |[(16, 1)]|
bathen |[(5, 1), (7, 1), (8, 1)]|
bator |[(12, 1)]|
bay |[(16, 1)]|
bayer |[(12, 1)]|
bb |[(11, 1)]|
bd |[(12, 1)]|
be |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (13, 1), (16, 1)]|
becaus |[(16, 1)]|
been |[(0, 1), (1, 1), (2, 1), (3, 1), (6, 1), (12, 1)]|
befor |[(13, 1)]|
behind |[(6, 1)]|
belong |[(13, 1)]|
below |[(0, 1), (1, 1), (2, 1), (5, 1), (8, 1), (11, 1), (16, 1)]|
benchmark |[(13, 1)]|
berkeley |[(4, 1)]|
better |[(7, 1)]|
bi |[(0, 1), (1, 1), (2, 1)]|
bibtex |[(4, 1), (5, 1), (7, 1), (8, 1)]|
biocircuti |[(10, 1)]|
bioinformat |[(13, 1)]|
biolog |[(0, 1), (1, 1), (2, 1)]|
biomerieux |[(13, 1)]|
biomérieux |[(13, 1)]|
blank |[(13, 1)]|
bloomington |[(16, 1)]|
board |[(11, 1)]|
boe |[(6, 1), (9, 1)]|
bold |[(6, 1), (9, 1)]|
both |[(5, 1), (8, 1), (10, 1)]|
bren |[(5, 1), (8, 1)]|
brett |[(0, 1), (1, 1), (2, 1)]|
broken |[(12, 1)]|
buffer |[(6, 1)]|
bug |[(5, 1), (8, 1)]|
built |[(6, 1), (10, 1)]|
bulletin |[(11, 1)]|
busi |[(11, 1), (16, 1)]|
but |[(11, 1), (13, 1)]|
by |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
c |[(4, 1), (6, 1), (10, 1), (11, 1), (13, 1)]|
cach |[(11, 1)]|
cadez |[(11, 1)]|
calcul |[(12, 1)]|
california |[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (8, 1), (10, 1)]|
camera |[(5, 1), (7, 1), (8, 1)]|
can |[(3, 1), (5, 1), (7, 1), (8, 1), (10, 1)]|
captur |[(10, 1)]|
carbon |[(10, 1)]|
case |[(6, 1), (7, 1), (9, 1)]|
catch |[(0, 1), (1, 1), (2, 1)]|
categor |[(11, 1)]|
categori |[(11, 1)]|
cec |[(4, 1), (5, 1), (8, 1)]|
censu |[(16, 1)]|
center |[(3, 1), (5, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
cento |[(14, 1), (15, 1), (17, 1), (18, 1)]|
chair |[(0, 1), (1, 1), (2, 1)]|
chamber |[(10, 1)]|
chang |[(7, 1), (16, 1)]|
channel |[(6, 1)]|
charact |[(10, 1)]|
characterist |[(10, 1), (11, 1), (12, 1), (13, 1)]|
check |[(4, 1), (6, 1)]|
checker |[(3, 1), (4, 1), (5, 1), (6, 1), (8, 1)]|
chee |[(16, 1)]|
chemic |[(10, 1)]|
chemo |[(10, 1)]|
chemoresist |[(10, 1)]|
child |[(16, 1)]|
chip |[(5, 1), (7, 1), (8, 1)]|
chosen |[(16, 1)]|
chri |[(16, 1)]|
christian |[(12, 1)]|
chromatographi |[(10, 1)]|
citat |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
cite |[(7, 1), (16, 1)]|
citizen |[(0, 1), (1, 1), (2, 1)]|
claim |[(7, 1)]|
class |[(12, 1)]|
classif |[(0, 1), (1, 1), (2, 1), (10, 1), (12, 1), (13, 1), (16, 1)]|
clean |[(10, 1)]|
click |[(5, 1), (8, 1)]|
clinic |[(13, 1)]|
clock |[(7, 1)]|
cluster |[(11, 1)]|
cml |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
co |[(10, 1)]|
colic |[(17, 1)]|
collabor |[(3, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
coloni |[(13, 1)]|
column |[(10, 1)]|
com |[(0, 1), (1, 1), (2, 1), (11, 1), (13, 1)]|
come |[(11, 1)]|
comment |[(6, 1), (9, 1)]|
commerci |[(10, 1)]|
common |[(5, 1), (8, 1)]|
commun |[(0, 1), (1, 1), (2, 1)]|
comparison |[(4, 1)]|
complet |[(10, 1)]|
complex |[(6, 1)]|
compon |[(4, 1), (5, 1), (6, 1), (8, 1), (12, 1)]|
compos |[(5, 1), (8, 1), (10, 1)]|
composit |[(4, 1), (6, 1)]|
compress |[(7, 1)]|
comput |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (8, 1), (10, 1), (11, 1), (12, 1), (16, 1)]|
concentr |[(10, 1), (13, 1)]|
concret |[(5, 1), (8, 1)]|
condit |[(6, 1), (12, 1)]|
confer |[(4, 1)]|
configur |[(5, 1), (8, 1), (10, 1)]|
connect |[(0, 1), (1, 1), (2, 1)]|
consid |[(13, 1)]|
consist |[(13, 1)]|
consit |[(6, 1)]|
constant |[(10, 1)]|
constantli |[(10, 1)]|
constitut |[(13, 1)]|
constraint |[(0, 1), (1, 1), (2, 1)]|
contact |[(0, 1), (1, 1), (2, 1), (6, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
contain |[(7, 1), (10, 1)]|
content |[(0, 1), (1, 1), (2, 1)]|
context |[(16, 1)]|
contradict |[(7, 1)]|
contrast |[(16, 1)]|
control |[(10, 1)]|
convert |[(10, 1)]|
copyright |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
corba |[(4, 1)]|
corona |[(0, 1), (1, 1), (2, 1)]|
corpor |[(0, 1), (1, 1), (2, 1)]|
correct |[(6, 1), (7, 1)]|
correspond |[(5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (16, 1)]|
could |[(7, 1)]|
couldn |[(0, 1), (1, 1), (2, 1)]|
coupl |[(13, 1)]|
cover |[(0, 1), (1, 1), (2, 1), (4, 1), (5, 1), (7, 1), (8, 1), (13, 1)]|
cpu |[(6, 1)]|
cpu_3 |[(6, 1)]|
creat |[(3, 1), (9, 1), (10, 1)]|
creator |[(10, 1)]|
credit |[(16, 1)]|
cultiv |[(0, 1), (1, 1), (2, 1)]|
cultur |[(13, 1)]|
cup |[(16, 1)]|
cup98lrn |[(16, 1)]|
curiou |[(0, 1), (1, 1), (2, 1)]|
current |[(12, 1)]|
cycl |[(7, 1)]|
d |[(5, 1), (7, 1), (8, 1), (11, 1), (13, 1), (16, 1)]|
data |[(0, 1), (1, 1), (2, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1), (17, 1)]|
databas |[(12, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]|
dataset |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
date |[(0, 1), (1, 1), (2, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
david |[(11, 1)]|
day |[(0, 1), (1, 1), (2, 1), (11, 1)]|
de |[(12, 1)]|
deadlock |[(7, 1)]|
decemb |[(4, 1)]|
decomposit |[(12, 1)]|
dedic |[(7, 1), (13, 1)]|
defect |[(12, 1)]|
defin |[(5, 1), (6, 1), (8, 1)]|
delay |[(6, 1)]|
demonstr |[(7, 1)]|
depart |[(16, 1)]|
depend |[(10, 1)]|
deploy |[(6, 1)]|
describ |[(7, 1), (11, 1)]|
descript |[(3, 1), (5, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
design |[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (7, 1), (8, 1), (10, 1)]|
detail |[(6, 1), (10, 1), (11, 1)]|
detect |[(10, 1), (16, 1)]|
determin |[(11, 1)]|
develop |[(0, 1), (1, 1), (2, 1), (5, 1), (8, 1), (9, 1)]|
deviat |[(12, 1)]|
diagnosi |[(12, 1)]|
dick |[(12, 1)]|
did |[(16, 1)]|
diego |[(10, 1)]|
differ |[(6, 1), (10, 1), (12, 1), (16, 1)]|
difficult |[(16, 1)]|
digit |[(5, 1), (7, 1), (8, 1)]|
dimension |[(16, 1)]|
directli |[(4, 1), (5, 1), (8, 1)]|
directori |[(14, 1), (15, 1), (17, 1), (18, 1)]|
disallow |[(7, 1)]|
disciplin |[(0, 1), (1, 1), (2, 1)]|
discov |[(16, 1)]|
discoveri |[(11, 1)]|
discrimin |[(10, 1), (13, 1)]|
displac |[(10, 1)]|
distinct |[(13, 1)]|
distribut |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
do |[(4, 1), (6, 1), (7, 1)]|
doc |[(3, 1)]|
doe |[(7, 1)]|
domain |[(4, 1), (5, 1), (6, 1), (8, 1), (18, 1)]|
don |[(0, 1), (1, 1), (2, 1)]|
donald |[(5, 1), (8, 1)]|
donat |[(10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
donor |[(10, 1), (12, 1)]|
dot |[(6, 1), (9, 1)]|
dougla |[(4, 1), (6, 1)]|
down |[(10, 1), (12, 1)]|
download |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
draft |[(4, 1)]|
dre |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
dream |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
drive |[(12, 1)]|
driven |[(5, 1), (6, 1), (8, 1)]|
dsml |[(5, 1), (8, 1)]|
due |[(0, 1), (1, 1), (2, 1)]|
durat |[(10, 1)]|
dure |[(11, 1)]|
dutt |[(3, 1), (4, 1), (5, 1), (7, 1), (8, 1)]|
e |[(13, 1)]|
each |[(7, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
easili |[(7, 1)]|
edu |[(6, 1), (9, 1), (10, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
eduardo |[(0, 1), (1, 1), (2, 1)]|
effici |[(5, 1), (8, 1)]|
eightpuzzl |[(18, 1)]|
eldch |[(16, 1)]|
eldest |[(16, 1)]|
electr |[(12, 1)]|
element |[(5, 1), (8, 1)]|
elliot |[(0, 1), (1, 1), (2, 1)]|
elsay |[(0, 1), (1, 1), (2, 1)]|
email |[(0, 1), (1, 1), (2, 1)]|
embed |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
emd |[(12, 1)]|
emerg |[(5, 1), (8, 1)]|
empir |[(12, 1)]|
emsoft |[(4, 1), (5, 1), (7, 1), (8, 1)]|
enforc |[(7, 1)]|
eng |[(12, 1)]|
ensur |[(6, 1)]|
entir |[(11, 1)]|
environ |[(5, 1), (8, 1), (9, 1), (10, 1)]|
espcial |[(0, 1), (1, 1), (2, 1)]|
estim |[(10, 1), (16, 1)]|
et |[(13, 1)]|
ethylen |[(10, 1)]|
evalu |[(5, 1), (7, 1), (8, 1)]|
even |[(7, 1), (16, 1)]|
event |[(0, 1), (1, 1), (2, 1), (6, 1), (11, 1)]|
exampl |[(6, 1), (7, 1), (9, 1), (10, 1), (11, 1), (16, 1)]|
except |[(6, 1)]|
execut |[(6, 1)]|
exhaust |[(10, 1)]|
experi |[(10, 1)]|
experiment |[(10, 1)]|
explain |[(6, 1)]|
explicitli |[(6, 1)]|
explor |[(13, 1)]|
explos |[(5, 1), (8, 1)]|
expos |[(10, 1)]|
extract |[(12, 1)]|
eyk |[(12, 1)]|
f |[(13, 1)]|
fabian |[(12, 1)]|
facil |[(10, 1)]|
factor |[(16, 1)]|
fake |[(0, 1), (1, 1), (2, 1)]|
fast |[(16, 1)]|
featur |[(12, 1)]|
feedback |[(9, 1)]|
feel |[(6, 1)]|
field |[(13, 1)]|
figaro |[(10, 1)]|
figur |[(5, 1), (6, 1), (8, 1)]|
file |[(10, 1), (16, 1)]|
filenam |[(10, 1)]|
final |[(7, 1), (10, 1)]|
find |[(3, 1), (5, 1), (7, 1), (8, 1), (9, 1), (16, 1)]|
finest |[(11, 1)]|
fingerprint |[(13, 1)]|
finit |[(7, 1)]|
fip |[(14, 1), (15, 1), (17, 1), (18, 1)]|
first |[(10, 1), (11, 1), (12, 1), (13, 1)]|
five |[(6, 1)]|
flow |[(10, 1)]|
fluctuat |[(10, 1)]|
focus |[(0, 1), (1, 1), (2, 1), (5, 1), (8, 1)]|
folder |[(10, 1), (11, 1), (12, 1), (13, 1)]|
follow |[(0, 1), (1, 1), (2, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (13, 1)]|
fonollosa |[(10, 1)]|
for |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
forc |[(12, 1)]|
forg |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
formal |[(3, 1), (4, 1), (5, 1), (7, 1), (8, 1)]|
found |[(10, 1), (16, 1)]|
four |[(10, 1), (11, 1)]|
four1 |[(18, 1)]|
four11 |[(18, 1)]|
four2 |[(18, 1)]|
four3 |[(18, 1)]|
four4 |[(18, 1)]|
four5 |[(18, 1)]|
four6 |[(18, 1)]|
four7 |[(18, 1)]|
four8 |[(18, 1)]|
four9 |[(18, 1)]|
framework |[(9, 1)]|
frank |[(12, 1)]|
free |[(6, 1)]|
from |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
frontpag |[(11, 1)]|
fu |[(16, 1)]|
function |[(7, 1), (12, 1)]|
further |[(9, 1)]|
fusion |[(0, 1), (1, 1), (2, 1)]|
futur |[(0, 1), (1, 1), (2, 1)]|
fã¼r |[(12, 1)]|
g |[(13, 1)]|
ga |[(10, 1)]|
gabe |[(6, 1), (9, 1)]|
gabor |[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]|
galkowski |[(0, 1), (1, 1), (2, 1)]|
gc |[(10, 1)]|
gcm |[(10, 1)]|
gener |[(0, 1), (1, 1), (2, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (12, 1)]|
genera |[(13, 1)]|
genu |[(13, 1)]|
german |[(16, 1)]|
get |[(0, 1), (1, 1), (2, 1), (6, 1), (10, 1)]|
giannella |[(16, 1)]|
gmail |[(0, 1), (1, 1), (2, 1)]|
gme |[(5, 1), (8, 1), (9, 1)]|
got |[(0, 1), (1, 1), (2, 1)]|
govindaraju |[(0, 1), (1, 1), (2, 1)]|
gram |[(13, 1)]|
graph |[(4, 1), (6, 1)]|
graphic |[(0, 1), (1, 1), (2, 1)]|
group |[(3, 1), (16, 1)]|
grown |[(13, 1)]|
guard |[(6, 1)]|
guerrero |[(0, 1), (1, 1), (2, 1)]|
guez |[(10, 1)]|
guy |[(0, 1), (1, 1), (2, 1)]|
h |[(10, 1), (13, 1)]|
ha |[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (6, 1), (8, 1), (12, 1), (16, 1)]|
hack |[(0, 1), (1, 1), (2, 1)]|
hackathon |[(0, 1), (1, 1), (2, 1)]|
had |[(10, 1)]|
happen |[(0, 1), (1, 1), (2, 1)]|
hard |[(5, 1), (8, 1), (13, 1)]|
harvest |[(16, 1)]|
have |[(0, 1), (1, 1), (2, 1), (5, 1), (6, 1), (8, 1), (9, 1), (13, 1)]|
he |[(0, 1), (1, 1), (2, 1)]|
head |[(16, 1)]|
health |[(11, 1)]|
heater |[(10, 1)]|
heckerma |[(11, 1)]|
heckerman |[(11, 1)]|
helicopt |[(9, 1)]|
henc |[(10, 1), (11, 1)]|
here |[(0, 1), (1, 1), (2, 1), (3, 1)]|
hero |[(0, 1), (1, 1), (2, 1)]|
hi |[(0, 1), (1, 1), (2, 1)]|
high |[(10, 1)]|
histogram |[(16, 1)]|
historian |[(0, 1), (1, 1), (2, 1)]|
hit |[(10, 1), (11, 1), (12, 1), (13, 1)]|
hoffmann |[(12, 1)]|
hold |[(0, 1), (1, 1), (2, 1)]|
home |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
hors |[(17, 1)]|
host |[(3, 1), (5, 1), (8, 1)]|
hour |[(11, 1), (13, 1)]|
hous |[(0, 1), (1, 1), (2, 1)]|
household |[(16, 1)]|
how |[(5, 1), (6, 1), (7, 1), (8, 1)]|
howev |[(6, 1), (7, 1)]|
hresp |[(7, 1)]|
hrsg |[(12, 1)]|
hs |[(12, 1)]|
hsplitx |[(7, 1)]|
http |[(5, 1), (8, 1), (9, 1)]|
huerta |[(10, 1)]|
humid |[(10, 1)]|
hãœllermeier |[(12, 1)]|
i |[(0, 1), (1, 1), (2, 1), (11, 1), (13, 1)]|
ic |[(0, 1), (1, 1), (2, 1), (5, 1), (8, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
ic1 |[(16, 1)]|
identif |[(13, 1)]|
identifi |[(10, 1)]|
ieee |[(4, 1), (6, 1)]|
if |[(3, 1), (4, 1), (5, 1), (6, 1), (8, 1), (9, 1), (10, 1), (13, 1), (16, 1)]|
ihler |[(0, 1), (1, 1), (2, 1)]|
ii |[(11, 1)]|
illustr |[(6, 1)]|
imag |[(0, 1), (1, 1), (2, 1)]|
imf |[(12, 1)]|
implement |[(7, 1)]|
in |[(0, 1), (1, 1), (2, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
incbu |[(16, 1)]|
incfarm |[(16, 1)]|
includ |[(0, 1), (1, 1), (2, 1), (9, 1), (10, 1)]|
incom |[(16, 1)]|
incorrect |[(7, 1)]|
independ |[(10, 1)]|
index |[(14, 1), (15, 1), (17, 1), (18, 1)]|
indiana |[(16, 1)]|
indic |[(10, 1)]|
industri |[(0, 1), (1, 1), (2, 1)]|
infer |[(0, 1), (1, 1), (2, 1)]|
info |[(16, 1)]|
infom |[(0, 1), (1, 1), (2, 1)]|
inform |[(0, 1), (1, 1), (2, 1), (5, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
informatik |[(12, 1)]|
inhibitori |[(10, 1)]|
initi |[(10, 1)]|
instanc |[(10, 1), (11, 1), (12, 1), (13, 1)]|
instead |[(10, 1)]|
institut |[(10, 1), (12, 1)]|
intact |[(12, 1)]|
integ |[(11, 1)]|
intellig |[(0, 1), (1, 1), (2, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
interest |[(6, 1)]|
intern |[(4, 1), (6, 1)]|
internet |[(11, 1)]|
into |[(12, 1), (16, 1)]|
intrins |[(12, 1)]|
introduc |[(10, 1)]|
introduct |[(5, 1), (8, 1)]|
invit |[(4, 1), (6, 1)]|
involv |[(13, 1)]|
ipum |[(16, 1)]|
ipums25 |[(16, 1)]|
ipums51 |[(16, 1)]|
ipums52 |[(16, 1)]|
iren |[(10, 1)]|
irresolv |[(7, 1)]|
irrodriguezlujan |[(10, 1)]|
